Anio,Mes,TEMP_N,PRES_S,MIX,Area,Fecha
2009,10,1.0,-14.7,0.6,0.0965,2009-10-01
2009,11,1.4,-6.0,1.0,0.144,2009-11-01
2009,12,1.6,-7.0,1.0,0.157,2009-12-01
2010,1,1.5,-10.1,0.9,0.171,2010-01-01
2010,2,1.2,-14.5,1.3,0.196,2010-02-01
2010,3,0.8,-10.6,1.3,0.216,2010-03-01
2010,5,-0.2,10.0,-0.1,0.303,2010-05-01
2010,6,-0.7,1.8,-1.3,0.147,2010-06-01
2010,7,-1.0,20.5,-2.4,0.085,2010-07-01
2010,8,-1.3,18.8,-2.4,0.16,2010-08-01
2010,9,-1.6,24.9,-2.3,0.127,2010-09-01
2010,10,-1.6,18.3,-2.2,0.0844999999999999,2010-10-01
2010,11,-1.6,16.4,-2.0,0.127,2010-11-01
2010,12,-1.6,27.1,-1.9,0.138,2010-12-01
2011,1,-1.4,19.9,-1.8,0.1455,2011-01-01
2011,2,-1.2,22.3,-1.6,0.157,2011-02-01
2011,4,-0.7,25.1,-1.7,0.236,2011-04-01
2011,5,-0.6,2.1,-1.2,0.182,2011-05-01
2011,8,-0.6,2.1,-0.8,0.132,2011-08-01
2011,9,-0.8,11.7,-1.1,0.12,2011-09-01
2011,11,-1.1,13.8,-1.1,0.1315,2011-11-01
2013,4,-0.3,0.3,-0.3,0.407,2013-04-01
2013,5,-0.4,8.4,-0.7,0.312,2013-05-01
2013,6,-0.4,13.9,-1.1,0.153,2013-06-01
2013,7,-0.4,8.1,-0.8,0.1119999999999999,2013-07-01
2013,8,-0.3,-0.5,-0.4,0.4965,2013-08-01
2013,9,-0.3,3.9,-0.3,0.126,2013-09-01
2013,11,-0.2,9.2,-0.2,0.069,2013-11-01
2013,12,-0.3,0.6,-0.3,0.0414999999999999,2013-12-01
2014,1,-0.4,12.2,-0.5,0.4345,2014-01-01
2014,2,-0.5,-1.3,-0.4,0.409,2014-02-01
2014,3,-0.3,-13.3,0.0,0.413,2014-03-01
2014,4,0.0,8.6,-0.2,0.404,2014-04-01
2014,5,0.2,4.4,-0.2,0.4675,2014-05-01
2014,6,0.2,-1.5,0.0,0.1385,2014-06-01
2014,7,0.0,-3.0,0.4,0.1025,2014-07-01
2014,8,0.1,-11.4,0.2,0.1655,2014-08-01
2014,9,0.2,-7.6,-0.1,0.0715,2014-09-01
2014,10,0.5,-8.0,0.1,0.0325,2014-10-01
2014,11,0.6,-10.0,0.4,0.0445,2014-11-01
2014,12,0.7,-5.5,0.4,0.0535,2014-12-01
2015,1,0.5,-7.8,0.2,0.0565,2015-01-01
2015,2,0.5,0.6,0.1,0.294,2015-02-01
2015,3,0.5,-11.2,0.2,0.2945,2015-03-01
2015,4,0.7,-3.8,0.3,0.123,2015-04-01
2015,5,0.9,-13.7,1.0,0.1669999999999999,2015-05-01
2015,6,1.2,-12.0,1.9,0.5215,2015-06-01
2015,7,1.5,-14.7,1.8,0.5255000000000001,2015-07-01
2015,8,1.9,-19.8,2.0,0.331,2015-08-01
2015,9,2.2,-17.8,2.2,0.1625,2015-09-01
2015,10,2.4,-20.2,2.2,0.134,2015-10-01
2015,11,2.6,-5.3,1.9,0.0715,2015-11-01
2015,12,2.6,-9.1,1.9,0.0905,2015-12-01
2016,1,2.5,-19.7,1.9,0.099,2016-01-01
2016,2,2.1,-19.7,1.8,0.191,2016-02-01
2016,3,1.6,-4.7,1.3,0.3299999999999999,2016-03-01
2016,4,0.9,-22.0,1.3,0.395,2016-04-01
2016,5,0.4,2.8,1.2,0.151,2016-05-01
2016,6,-0.1,5.8,0.4,0.269,2016-06-01
2016,7,-0.4,4.2,-0.5,0.351,2016-07-01
2016,8,-0.5,5.3,-0.3,0.473,2016-08-01
2016,9,-0.6,13.5,-0.3,0.4679999999999999,2016-09-01
2016,10,-0.7,-4.3,-0.5,0.276,2016-10-01
2016,11,-0.7,-0.7,-0.5,0.154,2016-11-01
2016,12,-0.6,2.6,-0.4,0.12,2016-12-01
2017,1,-0.3,1.3,-0.4,0.214,2017-01-01
2017,2,-0.2,-2.2,-0.4,0.296,2017-02-01
2017,3,0.1,5.1,-0.6,0.306,2017-03-01
2017,4,0.2,-6.3,-0.2,0.2774999999999999,2017-04-01
2017,5,0.3,0.5,0.2,0.308,2017-05-01
2017,6,0.3,-10.4,-0.2,0.197,2017-06-01
2017,7,0.1,8.1,-0.6,0.0735,2017-07-01
2017,8,-0.1,3.3,-0.7,0.089,2017-08-01
2017,9,-0.4,6.9,-0.7,0.024,2017-09-01
2017,10,-0.7,9.1,-0.6,0.103,2017-10-01
2017,11,-0.8,11.8,-0.6,0.095,2017-11-01
2017,12,-1.0,-1.4,-0.7,0.096,2017-12-01
2018,1,-0.9,8.9,-0.8,0.0975,2018-01-01
2018,2,-0.9,-6.0,-0.7,0.432,2018-02-01
2018,3,-0.7,10.5,-0.8,0.387,2018-03-01
2018,4,-0.5,4.5,-1.3,0.323,2018-04-01
2018,5,-0.2,2.1,-0.9,0.2015,2018-05-01
2018,6,0.0,-5.5,-0.5,0.046,2018-06-01
2018,7,0.1,1.6,0.0,0.0975,2018-07-01
2018,8,0.2,-6.9,0.5,0.1,2018-08-01
2018,9,0.5,-10.0,0.6,0.1154999999999999,2018-09-01
2018,10,0.8,3.0,0.5,0.542,2018-10-01
2018,11,0.9,-0.1,0.3,0.386,2018-11-01
2018,12,0.8,9.3,0.2,0.245,2018-12-01
2019,1,0.7,-0.6,0.1,0.2255,2019-01-01
2019,2,0.7,-13.5,0.5,0.521,2019-02-01
2019,3,0.7,-6.8,0.8,0.4515,2019-03-01
